,speaker_id,demographic
1565,35,I am a 30-year-old male of the White race. I have completed some college but no degree and I earn 30000 USD.
1570,2,I am a 26-year-old male of the White race. I have a high school diploma and earn 23400 USD.
1575,46,"I am a 37-year-old male of the White race. I have some college but no degree, and my income is 72000 USD."
1580,19,I am a 36-year-old male of the Black or African American race. I have a high school diploma and earn 150000 USD.
1585,317,I am a 39-year-old female of the White race. I have a four-year bachelor's degree and earn 21600 USD.
1590,182,I am a 30-year-old male of the White race. I hold a postgraduate or professional degree and earn a yearly income of 49000 USD.
1595,244,I am a 20-year-old female who identifies as Hispanic or Latino. I have completed some college but currently do not hold a degree. My income is 75000 USD.
1600,328,I am a 47-year-old female of the White race. I have obtained a four-year bachelor's degree and earn 26000 USD.
1605,360,I am a 42-year-old female of the white race. I have a postgraduate or professional degree and my income is 46000 USD.
1610,186,I am a 33-year-old male of the White race. I have a postgraduate or professional degree and earn 75000 USD.
1615,251,"I am a 36-year-old female of Asian/Pacific Islander race. I have completed some college but no degree, and earn 20000 USD."
1620,243,I am a 59-year-old female of the White race. I have some college but no degree and earn 95000 USD.
1625,34,I am a 30-year-old male of the White race. I have completed some college but no degree and my income is 28000 USD.
1630,236,I am a 37-year-old female of the White race. I have some college education but no degree and earn 50000 USD.
1635,291,I am a 28-year-old female of the White race. I have a four-year bachelor's degree and earn 66000 USD.
1640,106,I am a 28-year-old male of the White race. I have a four-year bachelor's degree and earn 100000 USD.
1645,287,I am a 27-year-old female of the White race. I have a four-year bachelor's degree and earn 25000 USD.
1650,333,I am a 56-year-old female of the White race. I hold a four-year bachelor's degree in education and earn 119000 USD.
1655,193,I am a 65-year-old male of the White race. I have attained a postgraduate or professional degree and earn 79000 USD.
1660,338,I am a 59-year-old female of the White race. I have a four-year bachelor's degree and earn 25500 USD.
1665,130,I am a 38-year-old male of the White race. I have completed a four-year bachelor's degree and I earn 24500 USD.
1670,267,I am a 53-year-old female of the White race. I completed a two-year associate degree and earn 93000 USD.
1675,212,I am a 34-year-old female of Hispanic or Latino ethnicity. I have a high school diploma and my annual income is 65000 USD.
1680,231,I am a 34-year-old female of the White race. I have completed some college but no degree and earn 30000 USD.
1685,209,I am a 60-year-old female of the White race. I hold a high school diploma and earn 74000 USD.
1690,346,I am a 36-year-old female of African American race. I hold a four-year bachelor's degree and my annual income is 30000 USD.
1695,351,I am a 35-year-old female of Asian/Pacific Islander descent. I have a four-year bachelor’s degree and earn 75000 USD.
1700,55,"I am a 43-year-old male of the White race. I have some college education but no degree, and my income is 48000 USD."
1705,167,I am a 34-year-old male of Black or African American race. I hold a four-year bachelor's degree and have a yearly income of 92000 USD.
1710,143,I am a 50-year-old male of the White race. I have a four-year bachelor's degree and earn 65000 USD.
1715,265,I am a 37-year-old female of the White race. I completed a two-year associate degree and earn 46000 USD.
1720,240,I am a 44-year-old female of the White race. I have completed some college but no degree. My income is 26000 USD.
1725,315,I am a 38-year-old female of the White race. I have a four-year bachelor's degree and earn 55000 USD.
1730,216,I am a 32-year-old female of the White race. I completed technical/vocational school and earn 30000 USD.
1735,344,I am a 32-year-old female of the Black or African American race. I have a four-year Bachelor's degree and earn 45000 USD.
1740,121,I am a 34-year-old male of the White race. I have obtained a four-year bachelor's degree and my income is 10000 USD.
1745,8,I am a 34-year-old male of White race. I have a high school diploma and my income is 15000 USD.
1750,21,I am a 30-year-old male of the White race. I have completed technical or vocational school and my income is 8700 USD.
1755,81,I am a 29-year-old male of the White race. I completed a two-year associate degree and earn 25000 USD.
1760,14,I am a 45-year-old male of the White race. I have a high school diploma and earn 31000 USD.
1765,139,I am a 47-year-old male of the White race. I have completed a four-year bachelor's degree and earn 30000 USD.
1770,12,I am a 34-year-old male of the White race. I have a high school diploma and earn 100000 USD.
1775,204,I am a 39-year-old female of the White race. I have a high school diploma and earn 74500 USD.
1780,119,I am a 33-year-old male of the White race. I have obtained a four-year bachelor's degree and my annual income is 75000 USD.
1785,27,"I am a 24-year-old male of the White race. I have completed some college but have not obtained a degree, and currently earn 30000 USD."
1790,242,I am a 50-year-old female of the White race. I have some college education but no degree and my income is 48000 USD.
1795,146,I am a 61-year-old male of the White race. I have completed a four-year bachelor's degree and earn 18000 USD.
1800,200,I am a 35-year-old female of the White race. I have a high school diploma and my income is 9999 USD.
1805,84,I am a 34-year-old male of the White race. I completed a two-year associate degree and earn 30000 USD.
1810,96,I am a 24-year-old male of the White race. I have a four-year bachelor's degree and earn 60000 USD.
1815,54,I am a 42-year-old male of the White race. I have completed some college but no degree and earn 105000 USD.
1820,250,I am a 27-year-old female of different race. I have completed some college but no degree and earn 40000 USD.
1825,142,I hold a four-year bachelor's degree and I am a 50-year-old male of the White race. My annual income is 54000 USD.
1830,109,I am a 29-year-old male of the White race. I have completed a four-year bachelor’s degree and earn 140000 USD.
1835,214,I am a 21-year-old female of the White race. I have completed technical/vocational school and earn 21000 USD.
1840,185,I am a 32-year-old male of the White race. I have a postgraduate or professional degree and earn 70000 USD.
1845,249,"I am a 34-year-old female of African American descent. I have completed some college but have not yet earned a degree, and my income is 30000 USD."
1850,285,I am a 26-year-old female of the white race. I have a four-year bachelor’s degree and earn 47000 USD.
