	article_id	wrong_empathy	distress	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_id	demographic_essay	article	empathy
1330	382	3.0	3.0	neutral	5.0	7.0	3.0	34.0	100000.0	5.5	4.0	6.0	5.5	5.5	4.0	1.857	2.857	4.143	368	I am a 34-year-old individual of the Black or African American race. I have a postgraduate or professional degree and my income is 100000 USD. It seems that a lawsuit is now pending for the Sawtooth National Recreation Area.  Exessive grazing from the cattle has occured in this area and it seems to be threatening the wildlife in the area.  Protective measures have been put in place over the years but there have no been serious consequences for parties that do not comply.	Advocates for the West has filed a lawsuit on behalf of Western Watersheds Project to challenge the Forest Service's grazing decisions in the White Clouds Wilderness and East Fork Salmon River. The Forest Service has allowed heavy grazing and repeated violations on these public lands, despite acknowledging in 2003 that grazing was causing significant harm to resources. The lawsuit aims to protect the sensitive habitat for various fish species and improve management of the watershed. The grazing has also impacted recreational opportunities in the area. The groups are urging the Forest Service to take action and prioritize the preservation of these lands.	6.2
839	132	1.0	3.625	surprise	1.0	7.0	1.0	30.0	75000.0	7.0	4.0	1.5	3.5	6.5	2.0	1.571	1.143	2.0	183	I am a 30-year-old male of the White race. I hold a postgraduate or professional degree and earn 75000 USD. Did you see this article about the protest in MI? It's so crazy how divisive the country has become over the election and how president tump's doing. What used to be considered rare and unacceptable seems now to become the norm, since all the crazy things trump says and does. Throwing a firecracker into a crowd? Who does that and think's its acceptable? People these days are getting very crazy.	A group of mostly black University of Central Missouri students protesting Donald Trump and the racial climate on campus were targeted with fireworks. The incident occurred while about a dozen white students supporting Trump gathered at the edge of the crowd. One protester claimed to have been spat on and subjected to a racial slur. University police were unable to find the person responsible. This protest is one of many happening across the country.	3.2
1547	234	3.833	4.0	joy	1.0	4.0	3.0	28.0	456566.0	4.5	3.5	3.5	5.0	4.5	2.4290000000000003	3.571	2.571	3.0	70	I am a 28-year-old male of African American race. I have completed some college but no degree and earn 456566 USD. have a friend I wrote a letter for, and gave it to her on her birthday. In the beginning I wrote about how our friendship began, and wrote about all of my favorite memories with her from as far back as I could remember. Our first interaction to when we first started texting and getting to know each other, all the way up to when I wrote the letter. She is really good at always telling me how she feels about me and how grateful she is to have me as a friend. I usually suck at reciprocating, so I took this as an opportunity to tell her what she meant to me. I made the end of the letter forward looking and wrote of how grateful I considered myself to be because she was in my life, and how I hoped that wouldn’t change for a long, long time.	Nigerian police are investigating a video of a boy being beaten and set on fire for allegedly stealing food. The victim's age and location are disputed, with some reports claiming he was a seven-year-old attacked in Lagos, while others say he was in his twenties and part of a robbery gang. The police have stated that the video does not suggest the assault occurred in Lagos. The footage has sparked outrage and calls for justice to be served.	6.2
975	309	1.0	4.125	disgust	2.0	4.0	1.0	26.0	14750.0	5.5	7.0	7.0	5.0	2.5	4.428999999999999	2.143	4.857	3.143	221	I am a 26-year-old female of the White race. I have completed some college but have no degree, and my income is 14750 USD. So a man murdered someone over a card being declined. At a Starbucks of course, this is just getting to be ridiculous. Someone gets pissy because they have no money and decide to hurt someone else that has nothing to do with it. The more news articles I read like this, the less faith I have in humanity.	A deadly shooting occurred at a Starbucks in Las Vegas after a customer's card was declined. The suspect fired shots in the air and then at a customer, who later died. The incident was initially treated as a hostage situation, causing a delay in medical treatment. The suspect called the police and falsely described a different shooter. The suspect, a Hispanic man with a criminal history, was later detained and found to be in possession of a gun.	6.2
1203	90	4.833	3.875	fear	2.0	5.0	3.0	34.0	55000.0	6.5	6.0	2.5	6.0	6.0	4.0	2.0	3.143	4.0	275	I am a 34-year-old female of the Black or African American race. I completed a two-year associate degree and earn 55000 USD. Thinking about water contamination is a scary thought. When that can effect our children it makes things even worse. The crisis in Flint is unacceptable and to hear about the drinking fountain in Chicago makes things even worse. It makes you think that major improvements need to made across the US. New laws need to be put in place to ensure everyone is getting healthy water.	Chicago has shut down hundreds of public drinking fountains due to excessive levels of lead in the water. The ongoing crisis in Flint, Michigan has prompted other communities to test for lead, including the Chicago Park District. Testing revealed that nearly a quarter of outdoor fountains and 14 indoor fountains and sinks exceeded the federal standard for lead levels. Some fountains had lead levels 80 times higher than the permissible level. All fountains and sinks with high lead levels have been disabled and will undergo further testing and repairs. The lack of adequate testing for lead in public settings is a national problem, according to public health officials. Lead can have serious health effects, especially in young children, and there is no safe level of lead in the body. Lead pipes and fixtures are still common in communities across the country. While taking a sip from a single fountain may not seriously affect health, it can contribute to cumulative lead exposure, particularly for vulnerable populations like the homeless and children.	6.5
489	47	5.832999999999999	6.25	sadness	2.0	4.0	1.0	29.0	27000.0	7.0	6.5	7.0	7.0	7.0	5.0	1.0	1.714	4.857	224	I am a 29-year-old female of the White race. I have completed some college but no degree and my income is 27000 USD. I think the situation in allepo is really dire. I don't understand why the syrian government is trying to harm the people there whey they didn't do anything wrong. I think the whole situation is really sad and that a lot of innocent people are getting hurt for no reason. War is awful and I hope that there's a solution to it soon. I'm glad that the UN is trying to do something, but I just don't think that it's enough.	Residents in war-ravaged eastern Aleppo received a text message warning them to evacuate within 24 hours before a planned assault. The message, likely sent by the Syrian government, also gave rebels an ultimatum to surrender or be killed. While there were no reports of bombardment by Monday afternoon, witnesses spotted fighter jets in the city. Russian warplanes have been backing the regime with airstrikes since September, causing destruction in Aleppo. The UN warned that the city is on the brink of starvation and lacks essential supplies. Turkey has been carrying out airstrikes in northern Syria to support the Free Syrian Army and plans to move on to Manbij after liberating al-Bab from ISIS. This move has stirred sectarian tensions and complicated efforts to free Syrian cities from ISIS control. Turkey considers some Kurdish militia groups as terrorists, while the US supports and arms them. The conflict between the US and Russia over which groups to target in Syria further complicates the situation.	6.5
116	207	1.0	7.0	anger	1.0	5.0	5.0	27.0	100000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.571	4.428999999999999	5.0	92	I am a 27-year-old male of other gender. I completed a two-year associate degree and earn 100000 USD. I really hate ISIS. They continue to be the stain on society by committing atrocities condemned by every nation in the world. They must be stopped at all costs and they must be destroyed so that they wont hurt another soul. These poor people who are trying to survive get killed, imprisoned, or brainwashed into joining and there seems to be no way to stop them.	A mass grave containing the bodies of hundreds of Iraqi policemen who were executed by ISIS has been discovered near Mosul. The grave was found by Iraqi security forces during their assault on the ISIS stronghold. The bodies are believed to have been buried as recently as October, just before the US-backed forces began their assault on Mosul. The grave was visited by Human Rights Watch, who found four exposed corpses and piles of rubbish covering other bodies. Witnesses reported that ISIS rounded up around 2,000 people from the area and forced them to head towards Mosul, separating the former policemen and driving them away. Gunfire and screams were heard on multiple occasions, indicating further executions. Human Rights Watch has called for ISIS to be held accountable for these crimes against humanity.	4.2
1021	356	3.833	5.75	anger	1.0	5.0	1.0	31.0	49000.0	7.0	6.5	6.0	6.5	7.0	4.2860000000000005	4.571000000000001	4.714	4.857	83	I am a 31-year-old male of the White race. I completed a two-year associate degree and earn 49000 USD. Can you believe how people are acting over this? They are acting like a bunch of rabid animals. This is not how you protest. Going around acting violent and destroying things does not solve anything. This is chaos. There is no excuse for this type of behavior just because you don't agree with an election.	Protesters in Oakland caused damage to businesses during anti-Trump demonstrations. At least 11 people were arrested as protesters set fires, smashed windows, and sprayed graffiti on seven businesses. Police in riot gear attempted to control the crowd's access to the city's central business district. The number of protesters decreased from 1,000 to a few hundred by the end of the night.	3.2
152	279	2.667	4.5	anger	1.0	6.0	1.0	23.0	44000.0	7.0	7.0	7.0	7.0	7.0	5.0	2.4290000000000003	4.714	5.0	95	I am a 23-year-old male of the White race. I have a four-year bachelor's degree and earn 44000 USD. How can people take something like relationships for granted? It's infuriating that in a world where I have to fight for the right to marry the person I love and adore and want to pamper and cherish and share a life with that there are assholes out there like this with anger issues who will get in their alleged partner's face and shout. The hate is just mind blowing.	Scottie Pippen's wife, Larsa Pippen, told police that she was scared of him during an argument at their home. The NBA star broke his own cell phone out of frustration during the altercation. This incident occurred shortly before Scottie filed for divorce. Larsa informed the police that they were having marital problems and that Scottie would raise his voice, yell, and scare her. The police report states that Scottie admitted to the argument and breaking his phone in frustration. Larsa mentioned that she would be speaking to an attorney. No arrests were made, and there were no allegations of domestic violence. Scottie's unhappiness with Larsa's relationship with Future had been a point of contention between them.	6.5
396	212	1.167	1.25	disgust	1.0	6.0	1.0	36.0	20000.0	4.5	5.5	1.0	5.0	6.0	3.429	2.0	2.714	3.143	129	I am a 36-year-old male of the White race. I have a four-year bachelor's degree and earn 20000 USD. Trump's handling of Mexico has been atrocious. While illegal immigration may have fallen, it's no reason to treat such a big trading partner like a second class world citizen by telling them they have to pay for a wall. A wall which would be completely useless as far as keeping people out, because there are such things as shovels and boats. It's just completely absurd.	Mexico is bracing for the consequences of a Trump presidency, as his campaign promises of building a wall, renegotiating trade deals, and deporting Mexican immigrants threaten the country's economy and relationship with the US. The peso has already suffered a significant drop, and experts predict a turbulent financial future for Mexico. The election has also caused an existential crisis for Mexico, as it reflects the negative image the country has in the US. Canada is also concerned about the impact of Trump's presidency, particularly on trade. While some Canadians reacted with anxiety, others saw it as an opportunity for pride. The election has forced Mexico to rethink its relationship with the US, and President Peña Nieto has expressed his willingness to work with Trump. However, paying for a wall is out of Mexico's vision, and the country hopes to continue collaborating with the US for mutual development. The election will likely have the most profound impact on the economy, as the US and Mexico are deeply integrated in terms of trade and employment. Mexico is America's third-largest trading partner, and millions of American jobs are tied to trade with Mexico. Trump's argument that Mexico benefits more from NAFTA than the US resonated with some voters, but experts believe that Mexico has little leverage to apply pressure in the relationship. An economic crisis in Mexico could lead to a migration crisis, as Mexicans may seek work in the US. However, some believe that the threat from the outside will bring Mexicans together and encourage them to work harder. There is optimism that Trump's hostile talk will diminish once he takes office, and that economic factors will temper his policies towards Mexico. However, with the Republican control of the House and Senate, Trump's victory signals an ideological realignment in the US.	4.2
216	239	1.0	1.0	disgust	1.0	6.0	2.0	38.0	46000.0	6.0	4.0	3.0	5.5	6.0	4.0	2.0	2.286	3.286	153	I am a 38-year-old male of Hispanic or Latino race. I have completed a four-year bachelor's degree and earn 46000 USD. This is a perfect example of why we need cameras everywhere.  They have this guy on video doing all the bad things he would do.  There is no way anyone can make any excuses for him now.  They will surely try, though.   BLM will probably come up with some story about how he was an upstanding citizen or something we have already heard before.	The Oklahoma Highway Patrol is set to release dashcam video of a car chase and deadly gun battle with Michael Vance, a suspect in a series of violent crimes. Vance was killed by troopers near Leedey, Oklahoma, after being suspected of killing two relatives and shooting three law enforcement officers. The video will be released at a press conference on Tuesday.	1.2
648	33	2.5	5.875	surprise	1.0	3.0	1.0	33.0	58000.0	6.0	5.0	2.5	7.0	7.0	3.143	2.4290000000000003	3.0	3.857	22	I am a 33-year-old male of the White race. I completed Technical/Vocational school and earn 58000 USD. I just read this crazy article about Wells Fargo that I thought I would share with you. It turns out that low level employees were signing people up for products and things that they did not need. Sometimes they were even forging signatures to get this done. Now before you jump to conclusions and thin k that this is all the employees fault let me fill you in some more. Management came up with a quota and incentive system where employees(who don't make very good money to begin with) would make extra money the more people they signed up to these new accounts. So basically the people in charge over there thought that it was a good idea to screw over their account holders and give their low-level employees crazy quotas, all so they could make more money. Then its the workers getting fired.	Wells Fargo Bank has admitted to firing 5,300 low-paid workers over five years for opening fake accounts to meet sales targets. The bank has faced outrage and has stalled stock awards to two top executives. Wells Fargo CEO/Chairman John Stumpf admitted to finding nearly 80,000 phony accounts in Pennsylvania. The bank claims that it did not impose fees for most of these accounts. However, former employees have reported unethical practices, such as raiding customers' private data and forging credit card application signatures. Other banks, both community banks and big multinationals, have also engaged in similar practices. Wells Fargo has stated that it has scrapped its incentive system and will come up with a new plan next year.	4.2
1165	278	1.0	3.5	neutral	1.0	4.0	1.0	31.0	125000.0	6.5	5.5	5.5	5.5	4.0	3.714	3.429	3.286	3.857	39	I am a 31-year-old male of the White race. I have completed some college but no degree and my income is 125000 USD. The Russians are always being provocative and trying to show force especially against the United States. There dangerous ways almost cost one of there pilots his life. This is yet another attempt from Russia to yet further distance themselves from NATO and to show they fully support the murderous Assad regime.	A Russian fighter jet crashed into the Mediterranean while attempting to land on a Russian aircraft carrier. The pilot ejected and was safely recovered. The crash was attributed to a technical problem. The incident occurred as a flotilla of Russian naval vessels, including the aircraft carrier, arrived off the Syrian coast. The Russian navy stated that the voyage was to ensure naval presence and safeguard maritime traffic. However, some view it as a show of force.	3.2
571	328	4.333	6.625	anger	1.0	5.0	5.0	31.0	80000.0	6.5	6.5	6.5	6.5	6.5	5.0	1.571	3.0	4.571000000000001	93	"I am a 31-year-old male of the race category labeled as ""Other"". I have completed a two-year associate degree and my income is 80000 USD. It's really disturbing we have a president that enables all these terrible behaviors we are witnessing unfold before us. I am happy there movements like #Metoo  exist to show people that we will not tolerate these kinds of acts. It's like these people never had mothers or sisters. The way they act is beyond comprehension and I hope the media keeps exposing people who have bad intentions."	"Multiple studies show that Trump's sexist rhetoric can have a significant impact on thinking, stress, and self-esteem. Women have expressed feeling gross and objectified by his comments, and even trauma victims have been distressed by his behavior. Trump's defense that his words are ""just words"" or ""locker room talk"" does not render them harmless, as rude language can impair cognition and lead to less creative thinking. Uncivil political discourse, especially in a presidential debate, undermines trust in government and discourages women from running for office. Discriminatory speech has negative consequences for women, leading to anger, depression, and lower self-esteem. Different types of discrimination can compound each other, with women of color experiencing even greater harm. Trump's candidacy exposes the bleak state of gender relations in the US and raises questions about how sexism will be taken seriously in the future."	6.5
721	258	5.332999999999999	7.0	anger	1.0	7.0	1.0	30.0	76000.0	5.5	1.5	1.0	6.0	3.5	3.857	3.571	3.571	2.857	184	I am a 30-year-old male of the White race. I have a postgraduate or professional degree and my income is 76000 USD. I'm always upset to hear about violence erupting as a result of lives lost due to police action. I believe most police officers are good people, but there is a pervasive issue of racism ingrained in many police departments. The protests were certainly justified. Police should be subjected to psychological testing to determine whether they have an inclination toward racism. Those that do need to be removed from active duty immediately.	Protests erupted in Charlotte, North Carolina after a black man was fatally shot by a police officer. Around 16 police officers were injured during clashes with protesters, who looted trucks and set fire to cargo on a highway. The shooting occurred when officers were trying to serve an arrest warrant, claiming that the man posed a deadly threat. However, the man's family disputes this, stating that he was unarmed and holding a book. The incident has reignited scrutiny of the police department, which previously faced controversy over the shooting of an unarmed black man. This shooting is the latest in a series of incidents that have sparked outrage and debate about race relations and law enforcement. The police department is currently conducting an investigation into the shooting.	6.5
1851	158	1.0	1.0	anger	2.0	4.0	3.0	34.0	30000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.286	4.2860000000000005	4.428999999999999	249	I am a 34-year-old female of African American descent. I have completed some college but have not yet earned a degree, and my income is 30000 USD. I hate ISIS. They are a group full of hate and insanity. There is no reason for them to be doing the things they do. They make people suffer and die for no reason at all. They think they are better than other people and should be disbanded. I do not think there is room in this world for people that associate with them and they are highly misguided. I cannot respect them at all.	ISIS has executed 232 people near Mosul and taken tens of thousands as human shields against advancing Iraqi forces, according to the United Nations. The terror group carried out mass killings as punishment for defying its orders. Since October 17, ISIS has taken tens of thousands of men, women, and children from the outskirts of Mosul into the city, intending to use them as human shields. Iraqi forces have launched an operation to cut ISIS supply lines west of Mosul. Reports indicate that ISIS has abducted thousands of families from various areas. The use of human shields is a violation of international humanitarian law. The UN High Commissioner for Human Rights condemned ISIS's strategy and urged those fighting ISIS not to carry out revenge attacks. The Mosul operation has already displaced thousands of people, and camps have been set up to accommodate them. Civilians continue to flee despite the risks involved.	3.2
69	404	4.333	4.875	sadness	2.0	4.0	1.0	34.0	90000.0	7.0	3.5	1.5	7.0	6.5	4.428999999999999	2.0	2.571	4.2860000000000005	232	I am a 34-year-old female of the White race. I have completed some college but no degree and earn 90000 USD. Poor woman!  I hope that she is able to recover.  I hate to hear of anyone being in an accident.  I see that there were three cars involved.  I wonder if she was the other one critically injured.  I guess if there were were at least three people involved and only one was seriously injured, those aren't the worst odds.	A woman was critically injured in a traffic collision in Prince George's County. The crash involved three cars and occurred at Piscataway and Tippett Roads in the Clinton area.	3.2
1111	400	6.5	5.75	neutral	1.0	4.0	1.0	45.0	27000.0	6.0	6.0	6.0	6.5	6.0	4.0	1.143	2.714	4.857	57	I am a 45-year-old male of the White race. I have completed some college but have no degree, and my income is 27000 USD. We need to make sure these brave people have more resources. Government needs to realize the value of animal tourism and do more to stop poaching. Once these precious animals are gone, there will be no bringing them back. We need to do more to make sure this does not happen. Poaching is a huge problem in Africa and penalties need to be severe	Baby Isibindi, a rhino at the Thula Thula Rhino Orphanage, has passed away after a difficult 56 hours. The orphanage had no power, and Isibindi had to be kept warm in a duvet. Despite the challenges, the orphanage team worked tirelessly to care for the other rhinos. The author expresses both sadness and relief at Isibindi's passing and hopes for the well-being of other orphaned babies.	6.2
1734	338	5.5	4.25	neutral	2.0	6.0	3.0	32.0	45000.0	6.0	4.0	6.0	6.0	4.0	3.143	2.714	3.286	3.714	344	I am a 32-year-old female of the Black or African American race. I have a four-year Bachelor's degree and earn 45000 USD. Its so obvious how much lady  periods and pills we have to take are linked to our depresstion and body pains. The chemistry going on in our body is somthing I cant even get ahold of. The pill though is such a thing we need if we dont want to have babies that this time. The after math of it is just a deeper conversation we have to understand so that we dont end of hurting ourself.	A study from the University of Copenhagen has confirmed a link between hormonal contraceptives and depression. The study, which tracked one million Danish women for 13 years, found that women taking the combined oral contraceptive were 23% more likely to be diagnosed with depression, while those using progestin-only pills were 34% more likely. Teens were at the greatest risk, with an 80% increase in depression when taking the combined pill. Other hormone-based methods, such as the hormonal IUS/coil, the patch, and the ring, were shown to increase depression at a higher rate than oral contraceptives. The study suggests that the practice of encouraging teens to use these alternatives to the pill is misguided. The medical community's response to the study has been dismissive, with experts downplaying the link and offering paternalistic advice. The burden of avoiding unwanted pregnancy falls on women, despite the potential negative effects on their health and wellbeing. Effective alternatives to hormonal contraceptives exist, but they are often overlooked. It is important to remember that women are twice as likely to experience depression as men, and blaming women's depression on their biological femaleness is acceptable, but blaming medication formulated from synthetic hormones is not. The study's authors plan to research the possible association between hormonal birth control and suicide attempts or completions. While not every woman experiences depression and anxiety from hormonal contraceptives, it is important to acknowledge that many do, and their lives could be improved by recognizing and addressing this issue.	4.2
342	288	1.5	1.0	sadness	1.0	6.0	1.0	35.0	31500.0	4.5	4.0	1.5	3.0	2.0	2.143	3.429	3.143	2.4290000000000003	127	I am a 35-year-old male of the White race. I have a four-year bachelor'sdegree and earn 31500 USD. Seems like a pretty ordinary occurrence. I'm sure their families are upset but I'm less sure this kind of story deserves space in a newspaper. A couple people got sick and they died. Anyway, it's a mildly sad story but it's not noteworthy or newsworthy. I don't understand why stories like this run in the paper.	Two American sisters, Robin Korkki and Anne Korkki, were found unresponsive in their resort in the Seychelles and later pronounced dead. Autopsies revealed that they died from acute pulmonary edema, or excess fluid in the lungs, with Anne also having excess fluid in the brain. The cause of the fluid buildup is still unknown, and toxicology analysis is being conducted. No visible injuries were found on the bodies. The sisters' family is seeking answers and some members have traveled to the Seychelles to gather details and bring the bodies home. The Seychelles is a popular tourist destination known for its beaches and coral reefs. The sisters arrived on September 15 and were scheduled to leave on September 24.	1.2
1444	385	2.167	2.875	neutral	1.0	7.0	1.0	39.0	76000.0	7.0	6.5	6.5	6.0	7.0	4.2860000000000005	1.429	4.143	3.0	189	I am a 39-year-old male of the White race. I have a postgraduate or professional degree and earn 76000 USD. People are up in arms over Trump not believing in climate change.  Withdrawing from the Paris treaty supposedly will contribute to global warming, along with doing away with the clean air act Obama passed while in office.  There's so much involved with climate change its hard to tell what is fact.  States are taking measures into their own hands to the extent they can I guess.	President-Elect Donald J. Trump's policies could have catastrophic effects on the planet's climate. By withdrawing from the Paris Agreement and terminating President Obama's Clean Power Plan, Trump could push global temperatures to rise higher than 1.5 degrees Celsius, leading to devastating consequences such as extreme weather patterns and mass extinctions. While other countries are committed to their climate commitments, Trump's actions could encourage them to abandon their commitments and emit more greenhouse gases. Trump's denial of climate change and his intention to cut off American support for UN climate science further exacerbate the situation. However, climate activists and environmental leaders are determined to continue their efforts at the local and state levels, pushing for emissions-restriction plans and the expansion of renewable energy infrastructure. Despite the divisions between Democrats and Republicans on climate policy, there is bipartisan support for investments in clean energy and climate resilience. The construction of wind and solar power plants could not only address climate change but also boost U.S. manufacturing and reduce electricity costs. The willingness of Trump and Republican leaders to support such initiatives remains uncertain.	3.2
1754	366	1.6669999999999998	5.125	anger	1.0	5.0	1.0	29.0	25000.0	7.0	5.5	1.5	7.0	7.0	5.0	2.0	4.0	5.0	81	I am a 29-year-old male of the White race. I completed a two-year associate degree and earn 25000 USD. Damaging the Amazon rain forest, one of the most iconic and well-known rain forests known to man, just to get oil is simply inexcusable. The US's hunt for crude oil is coming with disastrous consequences and needs to be rectified. By tearing down the Amazon trees, hurtful greenhouse gases are rising into the air, damaging the air quality around us. Corporations shouldn't be able to hurt the environment like this. It makes me angry.	"A new report by environmental group Amazon Watch reveals that the United States is driving the destruction of the Amazon rainforest by importing crude oil from the region. American refineries processed over 230,000 barrels of Amazon crude oil per day last year, with California alone refining an average of 170,978 barrels per day. The expansion of oil drilling in the Amazon poses a serious threat to the region, with proposed oil and gas fields covering an area larger than Texas. The destruction of the Amazon rainforest releases greenhouse gases and puts indigenous communities and biodiversity at risk. Ecuador's state oil company recently started drilling near the biologically rich Yasuni national park. Indigenous communities are at risk of pollution, displacement, and deadly illnesses. Amazon Watch is calling for a reduction in Amazon crude imports and the establishment of ""no go zones"" in decision making."	6.2
1630	26	1.6669999999999998	2.875	anger	2.0	6.0	1.0	28.0	66000.0	4.5	4.0	7.0	4.5	3.0	2.4290000000000003	1.857	4.857	2.714	291	I am a 28-year-old female of the White race. I have a four-year bachelor's degree and earn 66000 USD. Take a look at this guy! What a flip flopper!! He seems to endorse whoever is popular at the time - Trump or Obama.  I also hate his only tactic for arguing against his opponent, drawing on his personal life.  Instead of highlighting his policies, he’s trying to win on popularity.  I would never, ever vote for this guy!	Representative Darrell Issa, a Republican from California, is facing a tough re-election fight after years of comfortable victories. His decision to embrace Donald Trump has worsened his chances of winning. His opponent, Doug Applegate, a retired Marine colonel, has received significant financial support from the Democratic Congressional Campaign Committee. Issa has tried to fight back by highlighting accusations made against Applegate by his former wife. In another California district, Representative Jeff Denham is also facing a tough re-election fight. Denham, like Issa, has expressed support for Trump. Both districts have a large and growing Latino population, which is expected to vote against Trump. The Democratic Congressional Campaign Committee and the House Majority PAC have invested over $4 million to defeat Issa and Denham. The Congressional Leadership Fund, a Republican super PAC, has given over $1.6 million to Denham. Denham's refusal to disavow Trump has put him at odds with the editorial board of The Modesto Bee, the largest newspaper in his district, which has endorsed his opponent, Michael Eggman.	1.2
136	176	4.5	4.875	sadness	2.0	6.0	1.0	23.0	50000.0	4.5	5.5	3.0	2.5	5.0	3.143	1.714	3.429	2.571	280	I am a 23-year-old female of the White race. I have a four-year bachelor's degree and my income is 50000 USD. Natural disasters like these are just so scary. They could literally happen at anytime and no one ever knows when, especially earthquakes. It is sad to see such historic buildings and areas be destroyed by this event. It is even more sad knowing that people got injured. Some things just aren't fair in life and you never see it coming.	Two earthquakes hit central Italy, causing further damage to buildings already weakened by the August quake. Although there were no reports of serious injuries or deaths, the aftershocks revealed structural weaknesses in the area and added to the psychological stress of the residents. The government has allocated 40 million euros for housing those displaced by the quakes and promised to begin reconstruction soon. Thousands of people slept in their cars as emergency shelter was inadequate. The towns of Ussita and Visso were particularly affected, with a large percentage of houses deemed uninhabitable. The historic bell tower in Camerino collapsed, but the mayor stated that previous reconstruction work had contributed to the absence of serious injuries. With winter approaching, officials are considering alternative solutions to tents for housing the affected population, particularly the elderly.	6.2
23	320	3.167	3.125	disgust	1.0	6.0	5.0	43.0	50000.0	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857	179	I am a 43-year-old male of Asian/Pacific Islander descent. I obtained a four-year bachelor's degree and my income is 50000 USD. It's a shame that we have so many random acts of violence in this country.  It seems every other week we have some massacre involving either guns, a right wing extremist or a muslim extremist.  I think what they have in common are either mentally ill people or people who are extremist in their world views and religion.	The suspect behind the mall attack in Minnesota has been identified as 22-year-old Dahir Aden, a Somali-American student. He stabbed nine people at a shopping mall before being shot and killed by an off-duty police officer. Aden's family first learned of his death from the police, and authorities have not formally identified him as a suspect. Aden's father described him as an honors student with no history of violence. The Somali community expressed fears of backlash and called for unity. The Islamic State claimed responsibility for the attack, but authorities are still investigating any potential links to foreign terrorist organizations. The off-duty police officer was praised for his heroic actions in ending the attack.	3.5
1327	100	4.0	4.625	fear	5.0	7.0	3.0	34.0	100000.0	5.5	4.0	6.0	5.5	5.5	4.0	1.857	2.857	4.143	368	I am a 34-year-old individual of the Black or African American race. I have a postgraduate or professional degree and my income is 100000 USD. I canot believe that there are citizens in this county, particularly in Minnesota, who are vulnerable enough to be manipulated by ISIS to kill individuals in their country.  The Somali group in Minnesota has a history (several known cases) of people attempting to commit murder for the terrorist group.  Tragically, an Somali man has just gone on a murder spree.  He has not been linked to ISIS and his motivations are unclear, but I am disturbed.	Dahir Ahmed Adan, a 20-year-old Somali refugee, was identified as the suspect in the stabbing spree at a Minnesota mall. He allegedly stabbed 10 people before being shot dead by an off-duty police officer. Adan was wearing a private security uniform and asked at least one person if they were Muslim while carrying out the stabbings. Although an ISIS-affiliated media outlet claimed responsibility, there is no evidence linking Adan to the terrorist group. Adan was described as a quiet and studious young man from a well-known local Somali family. He had recently called his soccer coach for weight-loss advice and was out of work after his part-time security guard job ended. Investigators are examining Adan's media accounts and electronic devices to determine his motive. Minnesota has the largest Somali community in the US, and community leaders expressed concern about potential backlash. The Somali community in Minnesota has been targeted by ISIS for recruitment, with several individuals convicted or charged with supporting the extremist group.	3.2
486	220	2.5	1.0	anger	1.0	2.0	1.0	23.0	27000.0	5.0	5.5	1.0	4.5	5.0	4.0	2.714	3.429	3.429	1	I am a 23-year-old male of the White race. I have a high school diploma and earn 27000 USD. That's really strange that people would make such a big deal about her being single and running for office. That seems really petty, I wish people would focus all their attention on the real issues when it comes to politics. It seemed like the rules for Moldova didn't consider that a single person might run, I think they should update it.	"Maia Sandu, a presidential candidate in Moldova, is facing criticism for being a single woman. Former President Vladimir Voronin, who is chairman of the communist party, stated that presidential candidates should be married and campaign with their spouses. He refused to even shake Sandu's hand, calling her a ""betrayal of family values"" and a ""national disgrace."" Bishop Marchel, a leader in the Moldovan Orthodox Church, also attacked Sandu, claiming that her attitude towards Christian morality diverges from normal principles. Sandu defended herself, stating that being a single woman is not a shame. Voronin also criticized Sandu's opponent, Igor Dodon, but implied that Dodon is a preferable choice. Sandu has campaigned on a pro-European Union platform, while Dodon aligns his views with those of U.S. President-elect Donald Trump. The presidential election in Moldova will have a runoff vote on November 13."	4.2
260	163	2.833	3.875	sadness	1.0	2.0	5.0	29.0	26000.0	4.0	6.0	4.0	5.5	6.0	3.429	3.286	3.571	2.286	20	I am a 29-year-old male of other gender. I have a high school diploma and my income is 26000 USD. Dear friend,  I have just finished reading a very upsetting and tragic article. It told the story of a young teenage girl in India named Insha Mushtaq. She lost her vision and 14 years old because she was shot repeatedly with pellets. She has been in and out of hospitals for months trying to regain her vision, but so far it has not been successful. She is trying to stay positive now but she knows that she has a difficult road ahead of her. I hope that she regains her sight.	Insha Mushtaq, a 14-year-old girl from Indian-administered Kashmir, lost her vision in both eyes after being hit by pellets. She has been in and out of hospitals for the past three months in an attempt to regain her vision, but nothing has worked so far. Insha remains hopeful and still dreams of becoming a doctor. The ongoing unrest in Kashmir has resulted in the deaths of 89 civilians and thousands of injuries. Both India and Pakistan claim Kashmir, and the region has been a source of conflict for over 60 years. Pellet guns, originally used as a non-lethal weapon in 2010, have caused over a thousand eye injuries in recent months. Insha's family is struggling to cope with her injuries, and she tries to stay positive despite the challenges ahead.	6.5
